LiaisonId,EstFerie,EstVacances,liaison_frequence
469,False,False,180.0
470,False,False,1512.0
471,False,False,21.0
472,False,False,58.0
473,False,False,201.0
474,False,False,171.0
475,False,False,112.0
476,False,False,24.0
477,False,False,1.0
478,False,False,159.0
479,False,False,63.0
480,False,False,33.0
481,False,False,2308.0
482,False,False,318.0
483,False,False,974.0
484,False,False,47.0
485,False,False,21.0
486,False,False,17.0
487,False,False,9.0
488,False,False,9.0
489,False,False,912.0
490,False,False,452.0
491,False,False,1382.0
492,False,False,55.0
493,False,False,161.0
494,False,False,1577.0
496,False,False,11.0
497,False,False,58.0
498,False,False,213.0
499,False,False,137.0
500,False,False,94.0
501,False,False,33.0
502,False,False,192.0
503,False,False,64.0
504,False,False,28.0
505,False,False,749.0
506,False,False,2218.0
507,False,False,6275.0
508,False,False,421.0
509,False,False,56.0
510,False,False,1048.0
511,False,False,747.0
512,False,False,780.0
513,False,False,2474.0
514,False,False,1368.0
515,False,False,3424.0
516,False,False,140.0
517,False,False,515.0
518,False,False,3473.0
519,False,False,2.0
520,False,False,30.0
521,False,False,113.0
522,False,False,395.0
523,False,False,242.0
524,False,False,154.0
525,False,False,67.0
527,False,False,361.0
528,False,False,76.0
529,False,False,31.0
530,False,False,410.0
531,False,False,151.0
532,False,False,59.0
533,False,False,8.0
534,False,False,101.0
535,False,False,106.0
536,False,False,117.0
537,False,False,439.0
538,False,False,126.0
539,False,False,623.0
540,False,False,6.0
541,False,False,43.0
542,False,False,557.0
543,False,False,1.0
544,False,False,15.0
545,False,False,46.0
546,False,False,15.0
547,False,False,10.0
548,False,False,2.0
549,False,False,23.0
550,False,False,55.0
551,False,False,20.0
552,False,False,14.0
553,False,False,9.0
554,False,False,8.0
555,False,False,630.0
556,False,False,518.0
557,False,False,1298.0
558,False,False,52.0
559,False,False,172.0
560,False,False,1181.0
561,False,False,5.0
562,False,False,1.0
563,False,False,24.0
564,False,False,130.0
565,False,False,76.0
566,False,False,48.0
567,False,False,21.0
568,False,False,1.0
569,False,False,102.0
570,False,False,657.0
571,False,False,317.0
572,False,False,1623.0
573,False,False,719.0
574,False,False,607.0
575,False,False,762.0
576,False,False,287.0
577,False,False,1009.0
578,False,False,120.0
579,False,False,180.0
580,False,False,1151.0
581,False,False,4.0
583,False,False,26.0
584,False,False,134.0
585,False,False,239.0
586,False,False,159.0
587,False,False,108.0
588,False,False,65.0
589,False,False,228.0
590,False,False,1.0
591,False,False,89.0
592,False,False,443.0
593,False,False,987.0
594,False,False,536.0
595,False,False,423.0
596,False,False,511.0
597,False,False,140.0
598,False,False,536.0
599,False,False,12.0
600,False,False,49.0
601,False,False,481.0
602,False,False,1.0
603,False,False,17.0
604,False,False,62.0
605,False,False,31.0
606,False,False,9.0
607,False,False,4.0
608,False,False,53.0
609,False,False,623.0
610,False,False,272.0
611,False,False,197.0
612,False,False,276.0
613,False,False,56.0
614,False,False,266.0
615,False,False,5.0
616,False,False,29.0
617,False,False,305.0
618,False,False,3.0
619,False,False,3.0
620,False,False,13.0
621,False,False,29.0
622,False,False,8.0
623,False,False,4.0
624,False,False,1.0
625,False,False,7.0
626,False,False,665.0
627,False,False,743.0
628,False,False,727.0
629,False,False,186.0
630,False,False,563.0
631,False,False,21.0
632,False,False,83.0
633,False,False,469.0
634,False,False,9.0
636,False,False,3.0
637,False,False,38.0
638,False,False,111.0
639,False,False,52.0
640,False,False,36.0
641,False,False,9.0
643,False,False,102.0
644,False,False,228.0
645,False,False,499.0
646,False,False,98.0
647,False,False,468.0
648,False,False,17.0
649,False,False,63.0
650,False,False,388.0
651,False,False,7.0
652,False,False,2.0
653,False,False,12.0
654,False,False,67.0
655,False,False,38.0
656,False,False,9.0
657,False,False,4.0
658,False,False,54.0
659,False,False,673.0
660,False,False,131.0
661,False,False,504.0
662,False,False,23.0
663,False,False,60.0
664,False,False,380.0
665,False,False,4.0
666,False,False,13.0
667,False,False,38.0
668,False,False,21.0
669,False,False,11.0
670,False,False,1.0
671,False,False,45.0
672,False,False,677.0
673,False,False,1529.0
674,False,False,58.0
675,False,False,216.0
676,False,False,1383.0
677,False,False,6.0
678,False,False,2.0
679,False,False,39.0
680,False,False,133.0
681,False,False,97.0
682,False,False,56.0
683,False,False,11.0
684,False,False,1.0
685,False,False,152.0
686,False,False,17.0
687,False,False,59.0
688,False,False,677.0
689,False,False,1784.0
690,False,False,2.0
691,False,False,13.0
692,False,False,17.0
693,False,False,131.0
694,False,False,259.0
695,False,False,184.0
696,False,False,118.0
697,False,False,36.0
698,False,False,189.0
699,False,False,173.0
700,False,False,836.0
701,False,False,2850.0
702,False,False,5.0
703,False,False,4.0
704,False,False,24.0
705,False,False,39.0
706,False,False,164.0
707,False,False,469.0
708,False,False,326.0
709,False,False,231.0
710,False,False,76.0
711,False,False,1.0
712,False,False,437.0
713,False,False,111.0
714,False,False,577.0
716,False,False,2.0
717,False,False,29.0
718,False,False,132.0
719,False,False,65.0
720,False,False,29.0
721,False,False,6.0
722,False,False,33.0
723,False,False,946.0
724,False,False,3.0
725,False,False,5.0
726,False,False,4.0
727,False,False,58.0
728,False,False,171.0
729,False,False,118.0
730,False,False,80.0
731,False,False,27.0
732,False,False,89.0
733,False,False,5.0
734,False,False,15.0
735,False,False,28.0
736,False,False,15.0
737,False,False,143.0
738,False,False,801.0
739,False,False,1527.0
740,False,False,896.0
741,False,False,534.0
742,False,False,268.0
743,False,False,2.0
744,False,False,1210.0
745,False,False,7.0
746,False,False,16.0
747,False,False,66.0
748,False,False,24.0
749,False,False,25.0
750,False,False,7.0
751,False,False,30.0
752,False,False,1.0
753,False,False,2.0
754,False,False,1.0
755,False,False,4.0
756,False,False,23.0
757,False,False,10.0
759,False,False,8.0
760,False,False,8.0
761,False,False,99.0
762,False,False,54.0
763,False,False,34.0
764,False,False,7.0
765,False,False,36.0
766,False,False,80.0
767,False,False,94.0
768,False,False,82.0
769,False,False,16.0
770,False,False,1.0
771,False,False,151.0
772,False,False,631.0
773,False,False,319.0
774,False,False,115.0
775,False,False,2.0
776,False,False,491.0
777,False,False,471.0
778,False,False,1.0
779,False,False,171.0
780,False,False,2.0
781,False,False,672.0
782,False,False,1.0
783,False,False,373.0
784,False,False,5.0
785,False,False,775.0
786,False,False,9.0
787,False,False,15.0
788,False,False,4.0
789,False,False,688.0
790,False,False,48.0
791,False,False,67.0
792,False,False,1.0
793,False,False,35.0
794,False,False,334.0
795,False,False,9.0
796,False,False,1207.0
802,False,False,21.0
803,False,False,24.0
805,False,False,41.0
806,False,False,2.0
807,False,False,60.0
810,False,False,114.0
811,False,False,6.0
812,False,False,735.0
818,False,False,11.0
820,False,False,2239.0
821,False,False,1698.0
822,False,False,1848.0
823,False,False,3018.0
824,False,False,4245.0
825,False,False,1762.0
826,False,False,1841.0
827,False,False,3215.0
828,False,False,2049.0
829,False,False,1436.0
830,False,False,1361.0
831,False,False,2055.0
832,False,False,201.0
833,False,False,663.0
834,False,False,103.0
835,False,False,52.0
836,False,False,71.0
837,False,False,45.0
838,False,False,59.0
839,False,False,732.0
840,False,False,889.0
841,False,False,1024.0
842,False,False,68.0
843,False,False,200.0
844,False,False,1249.0
845,False,False,1275.0
846,False,False,1374.0
848,False,False,1699.0
849,False,False,2064.0
850,False,False,1124.0
851,False,False,1215.0
852,False,False,1452.0
853,False,False,918.0
854,False,False,731.0
855,False,False,700.0
856,False,False,910.0
857,False,False,140.0
858,False,False,256.0
859,False,False,55.0
860,False,False,18.0
861,False,False,23.0
862,False,False,11.0
863,False,False,6.0
864,False,False,300.0
865,False,False,471.0
866,False,False,436.0
867,False,False,23.0
868,False,False,72.0
869,False,False,669.0
870,False,False,1242.0
871,False,False,542.0
872,False,False,2130.0
873,False,False,2006.0
874,False,False,812.0
875,False,False,1204.0
