LiaisonId,Code
17829,1124
17830,1125
17831,1126
17833,1127
17870,1128
17871,1129
17875,1130
17876,1131
17877,1132
17878,1133
17879,1134
17880,1135
17881,1136
17882,1137
17884,1138
17887,1139
17888,1140
17889,1141
17892,1142
17894,1143
17896,1144
17897,1145
17898,1146
17899,1147
17900,1148
17901,1149
17902,1150
17903,1151
17904,1152
17908,1153
17909,1154
17911,1155
17913,1156
17915,1157
17917,1158
17920,1159
17921,1160
17922,1161
17926,1162
17927,1163
17928,1164
17929,1165
17930,1166
17931,1167
17932,1168
17934,1169
17937,1170
17938,1171
17939,1172
17941,1173
17942,1174
17944,1175
17946,1176
17947,1177
17948,1178
17949,1179
17950,1180
17951,1181
17952,1182
17953,1183
17954,1184
17958,1185
17959,1186
17961,1187
17963,1188
17965,1189
17967,1190
17968,1191
17970,1192
17971,1193
17972,1194
17976,1195
17977,1196
17978,1197
17979,1198
17980,1199
17981,1200
17983,1201
18025,1202
18026,1203
18027,1204
18028,1205
18029,1206
18031,1207
18073,1208
18074,1209
18075,1210
18076,1211
18078,1212
18120,1213
18121,1214
18122,1215
18124,1216
18127,1217
18128,1218
18129,1219
18132,1220
18134,1221
18136,1222
18137,1223
18138,1224
18139,1225
18140,1226
18141,1227
18142,1228
18143,1229
18144,1230
18148,1231
18149,1232
18151,1233
18153,1234
18155,1235
18157,1236
18158,1237
18160,1238
18161,1239
18162,1240
18166,1241
18167,1242
18169,1243
18172,1244
18173,1245
18174,1246
18177,1247
18179,1248
18181,1249
18182,1250
18183,1251
18184,1252
18185,1253
18186,1254
18187,1255
18188,1256
18189,1257
18190,1258
18193,1259
18194,1260
18196,1261
18198,1262
18200,1263
18202,1264
18203,1265
18205,1266
18206,1267
18207,1268
18211,1269
18213,1270
18216,1271
18217,1272
18218,1273
18221,1274
18223,1275
18225,1276
18226,1277
18227,1278
18228,1279
18229,1280
18230,1281
18231,1282
18232,1283
18233,1284
18237,1285
18238,1286
18240,1287
18242,1288
18244,1289
18246,1290
18247,1291
18249,1292
18250,1293
18251,1294
18256,1295
18259,1296
18260,1297
18261,1298
18264,1299
18266,1300
18268,1301
18269,1302
18270,1303
18271,1304
18272,1305
18273,1306
18274,1307
18275,1308
18279,1309
18280,1310
18281,1311
18283,1312
18284,1313
18285,1314
18287,1315
18288,1316
18290,1317
18291,1318
18292,1319
18340,1320
18341,1321
18342,1322
18344,1323
18345,1324
18346,1325
18347,1326
18349,1327
18350,1328
18351,1329
18352,1330
18353,1331
18354,1332
18355,1333
18356,1334
18357,1335
18358,1336
18360,1337
18361,1338
18362,1339
18364,1340
18366,1341
18368,1342
18370,1343
18371,1344
18373,1345
18374,1346
18375,1347
18457,1348
18458,1349
18460,1350
18461,1351
18462,1352
18463,1353
18465,1354
18466,1355
18467,1356
18468,1357
18469,1358
18470,1359
18471,1360
18472,1361
18480,1362
18482,1363
18495,1364
18498,1365
18500,1366
18502,1367
18503,1368
18504,1369
18505,1370
18506,1371
18507,1372
18508,1373
18509,1374
18510,1375
18514,1376
18515,1377
18517,1378
18519,1379
18521,1380
18523,1381
18524,1382
18526,1383
18532,1384
18533,1385
18534,1386
18535,1387
18537,1388
18538,1389
18539,1390
18540,1391
18541,1392
18542,1393
18543,1394
18544,1395
18545,1396
18546,1397
18548,1398
18550,1399
18552,1400
18554,1401
18556,1402
18558,1403
18559,1404
1856,1405
18561,1406
18636,1407
18637,1408
18639,1409
18640,1410
18641,1411
18642,1412
18643,1413
18644,1414
18645,1415
18646,1416
18647,1417
18648,1418
18650,1419
18652,1420
18654,1421
18656,1422
18658,1423
18660,1424
18663,1425
18669,1426
18671,1427
18672,1428
18673,1429
18674,1430
18675,1431
18676,1432
18677,1433
18678,1434
18679,1435
18682,1436
18684,1437
18686,1438
18688,1439
18702,1440
18703,1441
18704,1442
18705,1443
18706,1444
18707,1445
18708,1446
18709,1447
18710,1448
18713,1449
18715,1450
18717,1451
18719,1452
18721,1453
18723,1454
18724,1455
18726,1456
18762,1457
18763,1458
18764,1459
18765,1460
18766,1461
18767,1462
18768,1463
18769,1464
18772,1465
18774,1466
18776,1467
18778,1468
18780,1469
18782,1470
18783,1471
18785,1472
18791,1473
18792,1474
18793,1475
18794,1476
18795,1477
18796,1478
18797,1479
18798,1480
18800,1481
18802,1482
18804,1483
18806,1484
18808,1485
18810,1486
18811,1487
18813,1488
18819,1489
18820,1490
18821,1491
18822,1492
18823,1493
18824,1494
18825,1495
18827,1496
