Date,LiaisonId,TauxVenteGuichet,Prediction,ErreurAbsolue,JourSemaine,Seuil,EstAnomalie
2025-09-30,16468,0.49218106,0.3980710200859326,0.09411004261243167,1,0.1377235246086606,False
2025-10-01,16468,0.36173,0.40786744011716003,0.04613743079976196,2,0.1377235246086606,False
2025-10-04,16468,0.43917653,0.41156193214438247,0.02761459750153733,5,0.1377235246086606,False
2025-10-10,16468,0.41604352,0.4058549679749882,0.01018855199876667,4,0.1377235246086606,False
2025-10-11,16468,0.37642586,0.40728110687288105,0.030855244560564155,5,0.1377235246086606,False
2025-10-13,16468,0.42009988,0.4043397428826439,0.0157601413889778,0,0.1377235246086606,False
2025-10-14,16468,0.41783217,0.4009779752251714,0.01685419073132577,1,0.1377235246086606,False
2025-10-17,16468,0.41551247,0.4070631234663123,0.008449348924816247,4,0.1377235246086606,False
2025-10-18,16468,0.33384854,0.40705079022398166,0.07320225420942478,5,0.1377235246086606,False
2025-10-19,16468,0.48998946,0.3928037747819138,0.09718568473270411,6,0.1377235246086606,False
2025-10-20,16468,0.36980608,0.4021213378059472,0.03231525674935237,0,0.1377235246086606,False
2025-10-21,16468,0.5,0.39884044154035536,0.10115955845964464,1,0.1377235246086606,False
2025-10-24,16468,0.40366971,0.40472250052327474,0.001052785595601402,4,0.1377235246086606,False
2025-10-25,16468,0.4330218,0.4075665259037793,0.025455287727278453,5,0.1377235246086606,False
2025-10-26,16468,0.46993864,0.3951040650679434,0.07483457075816746,6,0.1377235246086606,False
2025-10-27,16468,0.3496678,0.4028952297798812,0.0532274422280013,0,0.1377235246086606,False
2025-10-28,16468,0.47197106,0.401354903952584,0.0706161608534005,1,0.1377235246086606,False
2025-10-30,16468,0.37168813,0.405351069577885,0.03366294206018483,3,0.1377235246086606,False
2025-10-31,16468,0.3326241,0.40325328893804485,0.07062918133878643,4,0.1377235246086606,False
2025-09-06,16478,0.40316206,0.3970538306547384,0.006108231513382911,5,0.1377235246086606,False
2025-09-08,16478,0.32089552,0.39474749529950415,0.07385197246663366,0,0.1377235246086606,False
2025-09-09,16478,0.41935483,0.39797484972268976,0.02137997648923956,1,0.1377235246086606,False
2025-09-10,16478,0.39721254,0.3930986479744708,0.0041138871684277545,2,0.1377235246086606,False
2025-09-11,16478,0.44047618,0.3937615600232802,0.04671461909964458,3,0.1377235246086606,False
2025-09-12,16478,0.3952569,0.39152694569234475,0.003729961055473241,4,0.1377235246086606,False
2025-09-13,16478,0.38636363,0.3985715252361065,0.012207899709678283,5,0.1377235246086606,False
2025-09-14,16478,0.34760705,0.38817181658708594,0.04056477022134802,6,0.1377235246086606,False
2025-09-17,16478,0.3611111,0.39908009292249663,0.03796898843412383,2,0.1377235246086606,False
2025-09-19,16478,0.3523316,0.39058028818677126,0.03824867965291201,4,0.1377235246086606,False
2025-09-20,16478,0.39811912,0.3964540378245991,0.0016650839653331584,5,0.1377235246086606,False
2025-09-22,16478,0.33606556,0.3979787101308494,0.06191314955154947,0,0.1377235246086606,False
2025-09-26,16478,0.35714287,0.3959647261057691,0.03882186044796271,4,0.1377235246086606,False
2025-09-27,16478,0.49259758,0.3932444053265094,0.0993531746295453,5,0.1377235246086606,False
2025-09-28,16478,0.3846154,0.38783386111307794,0.00321846962023431,6,0.1377235246086606,False
2025-09-29,16478,0.3539823,0.38993606417469345,0.03595376460842453,0,0.1377235246086606,False
2025-09-30,16478,0.37638375,0.39093215366350503,0.014548402032721952,1,0.1377235246086606,False
2025-10-01,16478,0.37037036,0.4047614027949744,0.03439104456629094,2,0.1377235246086606,False
2025-10-02,16478,0.4456522,0.39310258317311214,0.05254960369746281,3,0.1377235246086606,False
2025-10-03,16478,0.4194631,0.39840451363393764,0.021058584415226178,4,0.1377235246086606,False
2025-10-09,16478,0.45918366,0.4035650578461365,0.05561860528367002,3,0.1377235246086606,False
2025-10-10,16478,0.45104894,0.3982269218062191,0.052822018613931654,4,0.1377235246086606,False
2025-10-11,16478,0.34338748,0.40362887710581796,0.06024139255534189,5,0.1377235246086606,False
2025-10-13,16478,0.43243244,0.3977639518730096,0.03466849103050906,0,0.1377235246086606,False
2025-10-14,16478,0.41455695,0.3943347916826722,0.02022215864806204,1,0.1377235246086606,False
