TypeTitre,Date,Observe,Tendance,Saisonnalite,Residu
B,2025-05-24,0.08670952,0.11039746904129392,0.02624099515703068,-0.04992894248745196
B,2025-05-25,0.10413176,0.11708277621344591,-0.012134139717371102,-0.0008168782830316051
B,2025-05-26,0.10214959,0.12385506934380655,-0.01833438208210784,-0.0033710964118223025
B,2025-05-27,0.12414315,0.13112593502013545,-0.010642318590010167,0.0036595369989060877
B,2025-05-28,0.14159945,0.13850728951301397,-0.005279753243436767,0.008371910265533272
B,2025-05-29,0.14642656,0.14549476214933135,0.0030083663239072415,-0.002076569978670728
B,2025-05-30,0.16886602,0.1519952346885712,0.01638752311884115,0.0004832656138751834
B,2025-05-31,0.18970793,0.15561471150923029,0.033303883690925636,0.0007893396562588806
B,2025-06-01,0.5091748,0.15517579047556743,-0.014425116080044278,0.3684241493654632
B,2025-06-02,0.5257362,0.15611264534254263,-0.02514513360915341,0.39476870099701844
B,2025-06-03,0.5277498,0.15669447921272314,-0.01700003821892672,0.3880553358464135
B,2025-06-04,0.2473853,0.15570114376255995,-0.0096150606543506,0.10129921013710619
B,2025-06-05,0.5334578,0.15544112855630834,0.005706911972840503,0.37230977511797647
B,2025-06-06,0.20118777,0.15735301998601375,0.0403273464406219,0.003507408112358168
B,2025-06-07,0.05304074,0.15517598999877044,0.03219406056936962,-0.13432931141928484
B,2025-06-08,0.09439955,0.1510651958042806,-0.016713693131061306,-0.03995195360619888
B,2025-06-09,0.11973253,0.14746095751004343,-0.024366695870474187,-0.0033617327146272247
B,2025-06-10,0.12334223,0.14400872698972308,-0.019313749176175607,-0.0013527468975242096
B,2025-06-11,0.12746854,0.14049509585227754,-0.010279033840356062,-0.0027475207473874885
B,2025-06-12,0.15352638,0.13688268467658013,0.00838680248332551,0.008256893498244072
B,2025-06-13,0.5045126,0.1332613981062746,0.01851191414998037,0.35273929579504504
B,2025-06-14,0.16678768,0.1295746947526134,0.036364023830811346,0.0008489653803508967
B,2025-06-15,0.112022765,0.12573134243191372,-0.01622848211418582,0.0025199046630650923
B,2025-06-16,0.104518615,0.12155043287163637,-0.017466454811153404,0.0004346366488943154
B,2025-06-17,0.09479434,0.11768747047031902,-0.016238348465942604,-0.0066547815726862025
B,2025-06-18,0.10519355,0.11483414638693006,-0.00970976425232788,6.916576988924561e-05
B,2025-06-19,0.15454729,0.11239707059601803,0.009794173999331354,0.032356044418513225
B,2025-06-20,0.4954486,0.10992728922590668,0.010783774809744778,0.3747375252892997
B,2025-06-21,0.1649458,0.10749691611740475,0.024021009209441068,0.0334278708052419
B,2025-06-22,0.090486534,0.10534220551049887,-0.009029572450035312,-0.00582609912062515
B,2025-06-23,0.098704144,0.10342048154222853,-0.00726218429582346,0.002545847112229868
B,2025-06-24,0.09788049,0.10181128236540007,-0.008517736656639689,0.004586944415465227
B,2025-06-25,0.09345659,0.10114078469921772,-0.004071192632997186,-0.0036130033807079964
B,2025-06-26,0.103422634,0.10091825397298242,0.005655796636137602,-0.003151416305550228
B,2025-06-27,0.090378895,0.10083851517658811,-0.007753387323257956,-0.0027062324513755093
B,2025-06-28,0.08189509,0.1007176508909145,0.013291460796493158,-0.03211402104781644
B,2025-06-29,0.101425216,0.10060883547019162,-0.0020377205179501453,0.002854100649679614
B,2025-06-30,0.09845062,0.10071239209896557,0.0008516976740775581,-0.003113466320379704
B,2025-07-01,0.09998743,0.10105445880409444,-0.0034222803970850877,0.002355253953639752
B,2025-07-02,0.10428304,0.1014868955154597,-0.000493237673676231,0.0032893844102802883
B,2025-07-03,0.09986315,0.10187069186333396,0.0017004473844067917,-0.0037079900220289286
B,2025-07-04,0.09680565,0.10210822361888015,-0.004970531406899624,-0.0003320451964089338
B,2025-07-05,0.09902839,0.10226642970314685,-0.002045151301093165,-0.0011928847758406191
B,2025-07-06,0.10431083,0.10235228693665008,0.0031150189142746787,-0.0011564729332344814
B,2025-07-07,0.1128216,0.10256599606268005,0.0037278767861334164,0.006527728482420517
B,2025-07-08,0.09956809,0.10317514716315439,-0.003859063861874317,0.0002520080316323753
B,2025-07-09,0.101558745,0.10415479279604074,0.0053004883140998615,-0.007896536202761456
B,2025-07-10,0.10574121,0.10524151717009055,-0.0017834721324521898,0.0022831652442105582
B,2025-07-11,0.09771604,0.10644877114286906,0.0025841743652813428,-0.01131690459886009
B,2025-07-12,0.10033263,0.10802725175017032,-0.00917926052618117,0.0014846414368766409
B,2025-07-13,0.1146845,0.11010032424758871,0.0039004647785618922,0.00068371077405463
B,2025-07-14,0.11369728,0.11271647032077513,-0.00033082088486976406,0.001311633534046272
B,2025-07-15,0.107727066,0.11589143435069556,-0.0041601122500258625,-0.004004256418258495
B,2025-07-16,0.101632826,0.11953074132471639,0.011398964198818114,-0.029296879493280137
B,2025-07-17,0.11785816,0.12356071338793341,-0.004869579418281969,-0.0008329774077999452
B,2025-07-18,0.1378202,0.12750595414180765,0.01522162049122393,-0.004907375501065944
B,2025-07-19,0.1412164,0.13088290680149703,-0.016785507371074745,0.027118997855039156
B,2025-07-20,0.15343688,0.13331401571646057,-0.002702766630365449,0.022825635197924354
B,2025-07-21,0.5197016,0.1352873473727521,-0.0063178730632927034,0.39073212576530864
B,2025-07-22,0.19487354,0.1370361155235115,-0.0025100231529978324,0.060347449223037974
B,2025-07-23,0.16301082,0.1392524195809722,0.018280798826684798,0.00547760233876482
B,2025-07-24,0.5117046,0.14107857226530093,-0.010404724237346124,0.38103077567123345
B,2025-07-25,0.17648466,0.1398075277204215,0.03285175188473676,0.003825379708997323
B,2025-07-26,0.10921231,0.13828173849327893,-0.021688134834224996,-0.007381294536968369
B,2025-07-27,0.11188134,0.13744541368308968,-0.007328922806359957,-0.01823515281682754
B,2025-07-28,0.121284075,0.13685319627237252,-0.01212237316174856,-0.0034467480292755537
B,2025-07-29,0.13803281,0.1362285597797915,-0.0022830833180988268,0.004087332438186764
B,2025-07-30,0.1586266,0.13577017746947304,0.021494137616668383,0.0013622860138265414
B,2025-07-31,0.50203216,0.1355243155019525,-0.013785310369812167,0.38029315562683175
B,2025-08-01,0.18682054,0.13532348586212722,0.04287912292322765,0.008617928066528058
B,2025-08-02,0.108353354,0.13488847553441458,-0.02217890258505096,-0.0043562189125556094
B,2025-08-03,0.119398214,0.13438996615701132,-0.01301784932585177,-0.0019739029081821124
B,2025-08-04,0.11792124,0.13421915085924582,-0.01473111961192349,-0.0015667906195566683
B,2025-08-05,0.103511505,0.1342768441109949,-0.002326685486358036,-0.028438653795706953
B,2025-08-06,0.1168289,0.13457362193054098,0.01778516003733564,-0.03552987841200657
B,2025-08-07,0.115953684,0.13529730476542867,-0.017130559648354554,-0.002213061263924704
B,2025-08-08,0.11341604,0.13653282841085815,0.04703622632414448,-0.07015301628142367
B,2025-08-09,0.12189782,0.13808008336693645,-0.01682194593275201,0.0006396792238355931
B,2025-08-10,0.12281821,0.14077136716087132,-0.011753968095759283,-0.006199189834212221
B,2025-08-11,0.12682877,0.14551317296645802,-0.012210408016738478,-0.006473990139882202
B,2025-08-12,0.14050129,0.1512711608376334,-0.004938643029492875,-0.005831227248371845
B,2025-08-13,0.16721433,0.15772547287923536,0.009528229372189922,-3.9368240347392724e-05
B,2025-08-14,0.4988519,0.16510795085000934,-0.011245265279096566,0.3449892097614236
B,2025-08-15,0.21626954,0.173338442713668,0.04286828333381099,6.281175903194436e-05
B,2025-08-16,0.16931866,0.1821725388165667,-0.012779541446829051,-7.433627602579373e-05
B,2025-08-17,0.4998159,0.17648531835139766,-0.006774710283898531,0.33010530298711205
B,2025-08-18,0.23793529,0.15910932532715336,-0.00950794767488164,0.08833391208829072
