LiaisonId,TypeTitre,liaison_frequence,liaison_cible_encodage_controles,interaction_jour_liaison_controles
12848,B,24,20.49193,20.49193
12848,C,24,20.49193,20.49193
12849,B,83,20.49193,20.49193
12849,C,83,20.49193,20.49193
12850,B,675,20.49193,20.49193
12850,C,675,20.49193,20.49193
13026,B,620,20.49193,20.49193
13026,C,620,20.49193,20.49193
13036,B,645,20.49193,20.49193
13036,C,645,20.49193,20.49193
13038,B,5,20.49193,20.49193
13038,C,5,20.49193,20.49193
13040,B,799,20.49193,20.49193
13040,C,799,20.49193,20.49193
13042,B,1284,20.49193,20.49193
13042,C,1284,20.49193,20.49193
13044,B,565,20.49193,20.49193
13044,C,565,20.49193,20.49193
13045,B,613,20.49193,20.49193
13045,C,613,20.49193,20.49193
13049,B,563,20.49193,20.49193
13049,C,563,20.49193,20.49193
13050,B,845,20.49193,20.49193
13050,C,845,20.49193,20.49193
13051,B,375,20.49193,20.49193
13051,C,375,20.49193,20.49193
13052,B,278,20.49193,20.49193
13052,C,278,20.49193,20.49193
13054,B,458,20.49193,20.49193
13054,C,458,20.49193,20.49193
13057,B,55,20.49193,20.49193
13057,C,55,20.49193,20.49193
13058,B,103,20.49193,20.49193
13058,C,103,20.49193,20.49193
13059,B,57,20.49193,20.49193
13059,C,57,20.49193,20.49193
13062,B,10,20.49193,20.49193
13064,B,27,20.49193,20.49193
13064,C,27,20.49193,20.49193
13066,B,7,20.49193,20.49193
13066,C,7,20.49193,20.49193
13067,B,7,20.49193,20.49193
13067,C,7,20.49193,20.49193
13068,B,102,20.49193,20.49193
13068,C,102,20.49193,20.49193
13069,B,88,20.49193,20.49193
13069,C,88,20.49193,20.49193
13070,B,284,20.49193,20.49193
13070,C,284,20.49193,20.49193
13071,B,10,20.49193,20.49193
13071,C,10,20.49193,20.49193
13072,B,33,20.49193,20.49193
13072,C,33,20.49193,20.49193
13073,B,347,20.49193,20.49193
13073,C,347,20.49193,20.49193
13387,B,441,20.49193,20.49193
13387,C,441,20.49193,20.49193
13389,B,227,20.49193,20.49193
13389,C,227,20.49193,20.49193
13391,B,1183,20.49193,20.49193
13391,C,1183,20.49193,20.49193
13393,B,1195,20.49193,20.49193
13393,C,1195,20.49193,20.49193
13394,B,585,20.49193,20.49193
13394,C,585,20.49193,20.49193
13395,B,518,20.49193,20.49193
13395,C,518,20.49193,20.49193
13396,B,497,20.49193,20.49193
13396,C,497,20.49193,20.49193
13400,B,416,20.49193,20.49193
13400,C,416,20.49193,20.49193
13401,B,608,20.49193,20.49193
13401,C,608,20.49193,20.49193
13402,B,246,20.49193,20.49193
13402,C,246,20.49193,20.49193
13403,B,231,20.49193,20.49193
13403,C,231,20.49193,20.49193
13405,B,333,20.49193,20.49193
13405,C,333,20.49193,20.49193
13408,B,49,20.49193,20.49193
13408,C,49,20.49193,20.49193
13409,B,86,20.49193,20.49193
13409,C,86,20.49193,20.49193
13410,B,46,20.49193,20.49193
13410,C,46,20.49193,20.49193
13413,B,13,20.49193,20.49193
13413,C,13,20.49193,20.49193
13415,B,19,20.49193,20.49193
13415,C,19,20.49193,20.49193
13417,B,10,20.49193,20.49193
13417,C,10,20.49193,20.49193
13418,B,5,20.49193,20.49193
13418,C,5,20.49193,20.49193
13419,B,107,20.49193,20.49193
13419,C,107,20.49193,20.49193
13420,B,91,20.49193,20.49193
13420,C,91,20.49193,20.49193
13421,B,218,20.49193,20.49193
13421,C,218,20.49193,20.49193
13422,B,4,20.49193,20.49193
13422,C,4,20.49193,20.49193
13423,B,34,20.49193,20.49193
13423,C,34,20.49193,20.49193
13424,B,279,20.49193,20.49193
13424,C,279,20.49193,20.49193
13448,B,2,20.49193,20.49193
13449,B,18,20.49193,20.49193
13449,C,18,20.49193,20.49193
13450,B,27,20.49193,20.49193
13450,C,27,20.49193,20.49193
13451,B,8,20.49193,20.49193
13451,C,8,20.49193,20.49193
13452,B,78,20.49193,20.49193
13452,C,78,20.49193,20.49193
13453,B,1,20.49193,20.49193
13454,B,27,20.49193,20.49193
13454,C,27,20.49193,20.49193
13455,B,10,20.49193,20.49193
13455,C,10,20.49193,20.49193
13456,C,1,20.49193,20.49193
13457,B,22,20.49193,20.49193
13457,C,22,20.49193,20.49193
13458,B,8,20.49193,20.49193
13458,C,8,20.49193,20.49193
13459,B,1,20.49193,20.49193
13460,B,63,20.49193,20.49193
13460,C,63,20.49193,20.49193
1351,B,125,20.49193,20.49193
1351,C,125,20.49193,20.49193
13514,B,2,20.49193,20.49193
13515,B,2,20.49193,20.49193
13516,B,3,20.49193,20.49193
13517,B,2,20.49193,20.49193
13517,C,2,20.49193,20.49193
13518,B,9,20.49193,20.49193
13518,C,9,20.49193,20.49193
13520,B,2,20.49193,20.49193
