LiaisonId,TypeTitre,liaison_frequence,liaison_cible_encodage_controles,interaction_jour_liaison_controles
14466,B,1,20.49193,20.49193
14468,B,3,20.49193,20.49193
14470,B,18,20.49193,20.49193
14470,C,18,20.49193,20.49193
14472,B,78,20.49193,20.49193
14472,C,78,20.49193,20.49193
14474,B,55,20.49193,20.49193
14474,C,55,20.49193,20.49193
14476,B,47,20.49193,20.49193
14476,C,47,20.49193,20.49193
14478,B,13,20.49193,20.49193
14478,C,13,20.49193,20.49193
14481,B,103,20.49193,20.49193
14481,C,103,20.49193,20.49193
14482,B,77,20.49193,20.49193
14482,C,77,20.49193,20.49193
14483,B,27,20.49193,20.49193
14483,C,27,20.49193,20.49193
14487,B,220,20.49193,20.49193
14487,C,220,20.49193,20.49193
14488,B,222,20.49193,20.49193
14488,C,222,20.49193,20.49193
14489,B,623,20.49193,20.49193
14489,C,623,20.49193,20.49193
14490,B,1208,20.49193,20.49193
14490,C,1208,20.49193,20.49193
14491,B,1106,20.49193,20.49193
14491,C,1106,20.49193,20.49193
14492,B,430,20.49193,20.49193
14492,C,430,20.49193,20.49193
14493,B,466,20.49193,20.49193
14493,C,466,20.49193,20.49193
14495,B,845,20.49193,20.49193
14495,C,845,20.49193,20.49193
14498,B,91,20.49193,20.49193
14498,C,91,20.49193,20.49193
14499,B,254,20.49193,20.49193
14499,C,254,20.49193,20.49193
14500,B,54,20.49193,20.49193
14500,C,54,20.49193,20.49193
14503,B,10,20.49193,20.49193
14505,B,21,20.49193,20.49193
14505,C,21,20.49193,20.49193
14507,B,11,20.49193,20.49193
14508,B,14,20.49193,20.49193
14508,C,14,20.49193,20.49193
14509,B,288,20.49193,20.49193
14509,C,288,20.49193,20.49193
14510,B,203,20.49193,20.49193
14510,C,203,20.49193,20.49193
14511,B,685,20.49193,20.49193
14511,C,685,20.49193,20.49193
14512,B,40,20.49193,20.49193
14512,C,40,20.49193,20.49193
14513,B,84,20.49193,20.49193
14513,C,84,20.49193,20.49193
14514,B,709,20.49193,20.49193
14514,C,709,20.49193,20.49193
14516,B,1,20.49193,20.49193
14518,B,9,20.49193,20.49193
14518,C,9,20.49193,20.49193
14520,B,26,20.49193,20.49193
14520,C,26,20.49193,20.49193
14522,B,128,20.49193,20.49193
14522,C,128,20.49193,20.49193
14524,B,71,20.49193,20.49193
14524,C,71,20.49193,20.49193
14526,B,57,20.49193,20.49193
14526,C,57,20.49193,20.49193
14528,B,18,20.49193,20.49193
14528,C,18,20.49193,20.49193
14531,B,120,20.49193,20.49193
14531,C,120,20.49193,20.49193
14532,B,70,20.49193,20.49193
14532,C,70,20.49193,20.49193
14533,B,25,20.49193,20.49193
14533,C,25,20.49193,20.49193
14537,B,84,20.49193,20.49193
14537,C,84,20.49193,20.49193
14538,B,178,20.49193,20.49193
14538,C,178,20.49193,20.49193
14539,B,445,20.49193,20.49193
14539,C,445,20.49193,20.49193
14540,B,518,20.49193,20.49193
14540,C,518,20.49193,20.49193
14541,B,128,20.49193,20.49193
14541,C,128,20.49193,20.49193
14542,B,187,20.49193,20.49193
14542,C,187,20.49193,20.49193
14544,B,327,20.49193,20.49193
14544,C,327,20.49193,20.49193
14586,B,78,20.49193,20.49193
14586,C,78,20.49193,20.49193
14587,B,204,20.49193,20.49193
14587,C,204,20.49193,20.49193
14588,B,158,20.49193,20.49193
14588,C,158,20.49193,20.49193
14589,B,100,20.49193,20.49193
14589,C,100,20.49193,20.49193
14590,B,171,20.49193,20.49193
14590,C,171,20.49193,20.49193
14592,B,213,20.49193,20.49193
14592,C,213,20.49193,20.49193
14634,B,305,20.49193,20.49193
14634,C,305,20.49193,20.49193
14635,B,425,20.49193,20.49193
14635,C,425,20.49193,20.49193
14636,B,151,20.49193,20.49193
14636,C,151,20.49193,20.49193
14637,B,185,20.49193,20.49193
14637,C,185,20.49193,20.49193
14639,B,790,20.49193,20.49193
14639,C,790,20.49193,20.49193
14681,B,88,20.49193,20.49193
14681,C,88,20.49193,20.49193
14682,B,154,20.49193,20.49193
14682,C,154,20.49193,20.49193
14683,B,148,20.49193,20.49193
14683,C,148,20.49193,20.49193
14685,B,1395,20.49193,20.49193
14685,C,1395,20.49193,20.49193
14688,B,169,20.49193,20.49193
14688,C,169,20.49193,20.49193
14689,B,583,20.49193,20.49193
14689,C,583,20.49193,20.49193
14690,B,1459,20.49193,20.49193
14690,C,1459,20.49193,20.49193
14693,B,17,20.49193,20.49193
14693,C,17,20.49193,20.49193
14695,B,32,20.49193,20.49193
14695,C,32,20.49193,20.49193
14697,B,11,20.49193,20.49193
14698,B,12,20.49193,20.49193
14698,C,12,20.49193,20.49193
14699,B,780,20.49193,20.49193
14699,C,780,20.49193,20.49193
14700,B,436,20.49193,20.49193
14700,C,436,20.49193,20.49193
14701,B,1284,20.49193,20.49193
14701,C,1284,20.49193,20.49193
14702,B,86,20.49193,20.49193
14702,C,86,20.49193,20.49193
14703,B,149,20.49193,20.49193
14703,C,149,20.49193,20.49193
14704,B,1320,20.49193,20.49193
14704,C,1320,20.49193,20.49193
14708,B,11,20.49193,20.49193
14710,B,52,20.49193,20.49193
14710,C,52,20.49193,20.49193
14712,B,173,20.49193,20.49193
14712,C,173,20.49193,20.49193
14714,B,115,20.49193,20.49193
14714,C,115,20.49193,20.49193
